release_year,track_name,playlist_subgenre,track_popularity
2009,Party In The U.S.A.,post-teen pop,78.0
2009,Down,latin hip hop,76.0
2009,Down,post-teen pop,76.0
2009,Secrets,electropop,76.0
2009,Secrets,latin hip hop,76.0
2009,21 Guns,post-teen pop,75.0
2009,Monster,hard rock,75.0
2010,"Hey, Soul Sister",latin hip hop,82.0
2010,"Hey, Soul Sister",post-teen pop,82.0
2010,Love The Way You Lie,latin hip hop,82.0
2010,Love The Way You Lie,pop edm,82.0
2010,Just the Way You Are,hip pop,80.0
2010,Just the Way You Are,post-teen pop,80.0
2010,TiK ToK,dance pop,80.0
2010,Just the Way You Are,latin hip hop,78.5
2010,DJ Got Us Fallin' In Love (feat. Pitbull),latin hip hop,78.0
2010,DJ Got Us Fallin' In Love (feat. Pitbull),post-teen pop,78.0
2011,Mistletoe,post-teen pop,84.0
2011,Pumped Up Kicks,dance pop,83.0
2011,Pumped Up Kicks,electropop,83.0
2011,Pumped Up Kicks,indie poptimism,83.0
2011,Pumped Up Kicks,permanent wave,83.0
2011,Pumped Up Kicks,post-teen pop,83.0
2011,A Thousand Years,latin hip hop,79.0
2011,A Thousand Years,post-teen pop,79.0
2011,Give Me Everything,electropop,79.0
2011,Give Me Everything,pop edm,79.0
2012,Can't Hold Us - feat. Ray Dalton,electropop,83.0
2012,Can't Hold Us - feat. Ray Dalton,pop edm,83.0
2012,Can't Hold Us - feat. Ray Dalton,post-teen pop,83.0
2012,When I Was Your Man,latin hip hop,82.0
2012,When I Was Your Man,pop edm,82.0
2012,Just Give Me a Reason (feat. Nate Ruess),dance pop,80.0
2012,Just Give Me a Reason (feat. Nate Ruess),post-teen pop,80.0
2012,Titanium (feat. Sia),electropop,79.0
2012,Titanium (feat. Sia),post-teen pop,79.0
2012,Hall of Fame,post-teen pop,78.0
2013,All of Me,dance pop,85.0
2013,All of Me,latin hip hop,85.0
2013,All of Me,neo soul,85.0
2013,All of Me,pop edm,85.0
2013,All of Me,post-teen pop,85.0
2013,Wake Me Up,dance pop,84.0
2013,Wake Me Up,electropop,84.0
2013,Wake Me Up,latin hip hop,84.0
2013,Wake Me Up,post-teen pop,84.0
2013,Do I Wanna Know?,permanent wave,82.0
2014,Dancin (feat. Luvli) - Krono Remix,big room,84.0
2014,Dancin (feat. Luvli) - Krono Remix,electropop,84.0
2014,Dancin (feat. Luvli) - Krono Remix,permanent wave,84.0
2014,Dancin (feat. Luvli) - Krono Remix,pop edm,84.0
2014,Dancin (feat. Luvli) - Krono Remix,post-teen pop,84.0
2014,Photograph,latin pop,84.0
2014,Photograph,pop edm,84.0
2014,Photograph,post-teen pop,84.0
2014,Thinking out Loud,latin pop,83.0
2014,Thinking out Loud,pop edm,83.0
2015,The Less I Know The Better,album rock,85.0
2015,The Less I Know The Better,permanent wave,85.0
2015,Love Yourself,hip pop,83.0
2015,Love Yourself,pop edm,83.0
2015,Stressed Out,electropop,83.0
2015,Stressed Out,indie poptimism,83.0
2015,Stressed Out,permanent wave,83.0
2015,Stressed Out,pop edm,83.0
2015,Stressed Out,post-teen pop,83.0
2015,Uptown Funk,dance pop,82.0
2016,goosebumps,electropop,86.0
2016,goosebumps,hip hop,86.0
2016,goosebumps,trap,86.0
2016,Closer (feat. Halsey),dance pop,85.0
2016,Closer (feat. Halsey),electropop,85.0
2016,Closer (feat. Halsey),hip pop,85.0
2016,Closer (feat. Halsey),indie poptimism,85.0
2016,Closer (feat. Halsey),latin hip hop,85.0
2016,Closer (feat. Halsey),latin pop,85.0
2016,Closer (feat. Halsey),pop edm,85.0
2017,Jocelyn Flores,trap,86.0
2017,Jocelyn Flores,urban contemporary,86.0
2017,Perfect,latin hip hop,86.0
2017,Shape of You,dance pop,86.0
2017,Shape of You,electropop,86.0
2017,Shape of You,pop edm,86.0
2017,Shape of You,post-teen pop,86.0
2017,Thunder,electropop,85.0
2017,Thunder,latin hip hop,85.0
2017,idontwannabeyouanymore,urban contemporary,85.0
2018,Falling,electropop,97.0
2018,Falling,gangster rap,97.0
2018,Falling,hip pop,97.0
2018,Falling,latin hip hop,97.0
2018,Falling,latin pop,97.0
2018,Lucid Dreams,pop edm,92.0
2018,Happier,electropop,89.0
2018,Happier,hip pop,89.0
2018,Happier,latin hip hop,89.0
2018,Happier,post-teen pop,89.0
2019,Blinding Lights,dance pop,98.0
2019,Blinding Lights,hip pop,98.0
2019,Blinding Lights,indie poptimism,98.0
2019,Blinding Lights,latin hip hop,98.0
2019,Blinding Lights,latin pop,98.0
2019,Blinding Lights,pop edm,98.0
2019,Blinding Lights,post-teen pop,98.0
2019,Blinding Lights,urban contemporary,98.0
2019,Circles,latin hip hop,98.0
2019,Circles,latin pop,98.0
2020,Yummy,dance pop,95.0
2020,Yummy,hip pop,95.0
2020,Yummy,latin hip hop,95.0
2020,Yummy,latin pop,95.0
2020,Yummy,pop edm,95.0
2020,Yummy,post-teen pop,95.0
2020,Yummy,urban contemporary,95.0
2020,Life Is Good (feat. Drake),hip hop,93.0
2020,Life Is Good (feat. Drake),hip pop,93.0
2020,Life Is Good (feat. Drake),latin hip hop,93.0
